地理位置,观看次数,平均观看时长,观看时长（小时）
总计,26588,0:00:15,38.5159
TW,5532,0:00:15,7.4629
JP,1994,0:00:19,2.3265
VN,1882,0:00:18,3.2126
HK,1666,0:00:13,2.2933
MY,1439,0:00:10,1.4474
ID,1424,0:00:13,2.1115
MM,984,0:00:12,1.4919
IN,845,0:00:15,1.1928
KH,550,0:00:14,0.7774
IQ,506,0:00:12,0.7666
SG,480,0:00:16,0.5937
PH,452,0:00:16,0.6927
TR,345,0:00:22,0.8051
BR,340,0:00:15,0.4546
TH,250,0:00:10,0.2802
US,246,0:00:11,0.3304
BD,239,0:00:13,0.362
IT,236,0:00:13,0.4241
UZ,236,0:00:11,0.3313
DE,210,0:00:17,0.3983
KR,196,0:00:12,0.2421
MX,162,0:00:14,0.2527
SA,130,0:00:11,0.1648
SY,106,0:00:12,0.2038
EG,100,0:00:16,0.1475
RU,86,0:00:12,0.1792
PL,72,0:00:11,0.1082
ES,61,0:00:13,0.1085
PK,55,0:00:11,0.0693
CA,54,0:00:10,0.0669
FR,45,0:00:14,0.0652
DZ,42,0:00:10,0.0579
IR,35,0:00:13,0.0614
GR,35,0:00:09,0.0528
RS,34,0:00:17,0.077
KZ,32,0:00:14,0.0522
RO,29,0:00:11,0.0535
NL,22,0:00:11,0.0431
UA,21,0:00:11,0.0411
LB,0,,0
MN,0,,0
